timestamp,mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,t_s,vxy,h_fused,dt_s,flight_mask,yaw_unwrapped_deg,vx_body_m_s,vy_body_m_s,vz_odom_m_s,vx_world_m_s,vy_world_m_s,vz_fused_m_s,az_world_dyn_m_s2,z_meas_m,x_m,y_m,z_m,step_dist_2d_m,step_dist_3d_m,dist_2d_m,dist_3d_m
1773321530.967107,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,50,53,10,0,100,2.91,0,5.0,-11.0,-1000.0,1.6002671718597412,0.0,6.0,0.1007699966430664,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14705092950975995,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321531.072648,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,50,53,10,0,100,2.9,0,6.0,-10.0,-999.0,1.705808162689209,0.0,6.0,0.10554099082946777,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0949932900832664,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321531.17413,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,50,53,10,0,100,2.92,0,6.0,-10.0,-1002.0,1.8072900772094727,0.0,6.0,0.10148191452026367,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.546652821457883,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321531.276142,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,50,53,10,0,100,2.93,0,6.0,-10.0,-998.0,1.909301996231079,0.0,6.0,0.10201191902160645,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2599697106908252,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321531.3790069,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,50,53,10,0,100,2.93,0,6.0,-10.0,-998.0,2.012166976928711,0.0,6.0,0.10286498069763184,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030623222077224455,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321531.483252,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,50,53,10,0,100,2.93,0,6.0,-10.0,-998.0,2.1164121627807617,0.0,6.0,0.10424518585205078,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1528539688137016,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321531.588494,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,50,53,10,0,100,2.93,0,6.0,-10.0,-998.0,2.221654176712036,0.0,6.0,0.10524201393127441,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29963572152644247,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321531.690745,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,51,53,10,0,100,2.93,0,6.0,-11.0,-999.0,2.3239052295684814,0.0,6.0,0.10225105285644531,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21706112369656694,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321531.7938502,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,51,53,10,0,100,2.96,0,5.0,-9.0,-1000.0,2.4270102977752686,0.0,6.0,0.10310506820678711,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0489985545672198,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321531.895203,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,51,53,10,0,100,2.96,0,4.0,-9.0,-1001.0,2.5283632278442383,0.0,6.0,0.10135293006896973,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46184629717834014,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321531.9953809,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,51,53,10,0,100,2.98,0,6.0,-11.0,-997.0,2.6285409927368164,0.0,6.0,0.10017776489257812,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007875508732809067,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321532.100202,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,51,53,10,0,100,2.97,0,6.0,-10.0,-999.0,2.7333621978759766,0.0,6.0,0.10482120513916016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016347046538157883,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321532.204062,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,51,53,10,0,100,2.93,0,6.0,-10.0,-998.0,2.837222099304199,0.0,6.0,0.10385990142822266,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1642749092449094,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321532.307738,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,51,53,10,0,100,2.94,0,7.0,-12.0,-999.0,2.9408981800079346,0.0,6.0,0.10367608070373535,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10877247387134048,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321532.4082408,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,50,52,10,0,100,2.93,0,6.0,-10.0,-999.0,3.041400909423828,0.0,6.0,0.10050272941589355,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06437052557248535,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321532.511692,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,50,52,10,0,100,2.96,0,6.0,-9.0,-996.0,3.1448521614074707,0.0,6.0,0.10345125198364258,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6288489669334467,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321532.612894,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,50,52,10,0,100,2.97,0,6.0,-9.0,-999.0,3.246054172515869,0.0,6.0,0.10120201110839844,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48043172002235224,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321532.713398,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,50,52,10,0,100,2.94,0,5.0,-10.0,-997.0,3.346558094024658,0.0,6.0,0.10050392150878906,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7616979224934539,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321532.815895,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,50,52,10,0,100,2.94,0,6.0,-10.0,-999.0,3.4490551948547363,0.0,6.0,0.10249710083007812,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5867108844702216,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321532.9210272,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,50,52,10,0,100,2.95,0,4.0,-9.0,-998.0,3.554187297821045,0.0,6.0,0.1051321029663086,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.646721254051613,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321533.021608,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,50,52,10,0,100,2.93,0,6.0,-10.0,-998.0,3.654768228530884,0.0,6.0,0.10058093070983887,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6947295497167261,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321533.123219,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,50,52,10,0,100,2.95,0,5.0,-9.0,-999.0,3.7563791275024414,0.0,6.0,0.10161089897155762,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5331361862488393,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321533.225353,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,50,52,10,0,100,2.98,0,5.0,-11.0,-997.0,3.858513116836548,0.0,6.0,0.10213398933410645,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8038614954746208,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321533.3293152,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,50,52,10,0,100,2.91,0,5.0,-13.0,-997.0,3.962475299835205,0.0,6.0,0.10396218299865723,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0204417428552688,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321533.431328,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,51,52,10,0,100,2.93,0,4.0,-10.0,-998.0,4.064488172531128,0.0,6.0,0.10201287269592285,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9937059407596962,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
