t_s,dt_s,yaw,yaw_unwrapped_deg,vgx,vgy,vxy,vx_world_m_s,vy_world_m_s,h,tof,h_fused,x_m,y_m,step_dist_m,dist_2d_m
0.0,0.1,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
0.10354804992675781,0.10354804992675781,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
0.20384812355041504,0.10030007362365723,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
0.3083770275115967,0.10452890396118164,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
0.41130995750427246,0.10293292999267578,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
0.5116410255432129,0.10033106803894043,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
0.6140389442443848,0.10239791870117188,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
0.7184512615203857,0.10441231727600098,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
0.8223230838775635,0.10387182235717773,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
0.9234499931335449,0.10112690925598145,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
1.0287680625915527,0.10531806945800781,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
1.133702039718628,0.1049339771270752,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
1.235809087753296,0.10210704803466797,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
1.3412480354309082,0.1054389476776123,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
1.4451870918273926,0.10393905639648438,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
1.5494980812072754,0.10431098937988281,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
1.6549479961395264,0.10544991493225098,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
1.760378122329712,0.10543012619018555,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
1.8623261451721191,0.10194802284240723,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
1.9630041122436523,0.1006779670715332,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
2.0663421154022217,0.10333800315856934,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
2.1666970252990723,0.10035490989685059,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
2.2682271003723145,0.10153007507324219,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
2.3723740577697754,0.10414695739746094,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
2.4754021167755127,0.1030280590057373,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
2.5789270401000977,0.10352492332458496,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
2.6794731616973877,0.10054612159729004,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
2.7819602489471436,0.10248708724975586,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
2.8870301246643066,0.10506987571716309,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
2.9897561073303223,0.10272598266601562,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
3.09043288230896,0.1006767749786377,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
3.192160129547119,0.10172724723815918,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
3.2971949577331543,0.10503482818603516,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
3.4016618728637695,0.10446691513061523,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
3.5053789615631104,0.10371708869934082,-84,-84.0,0,0,0.0,0.0,0.0,0,10,6.0,0.0,0.0,0.0,0.0
