t_s,dt_s,flight_mask,roll,pitch,yaw,yaw_unwrapped_deg,vgx,vgy,vgz,vxy,agx,agy,agz,vx_world_m_s,vy_world_m_s,vz_odom_m_s,vz_fused_m_s,az_world_dyn_m_s2,h,tof,h_fused,z_meas_m,x_m,y_m,z_m,step_dist_2d_m,step_dist_3d_m,dist_2d_m,dist_3d_m
0.0,0.1,0,0,0,0,0.0,0,0,0,0.0,5.0,-10.0,-999.0,0.0,0.0,0.0,0.0,-0.11323726762225306,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10349202156066895,0.10349202156066895,0,0,0,0,0.0,0,0,0,0.0,6.0,-10.0,-998.0,0.0,0.0,0.0,0.0,0.08676273237767873,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2041029930114746,0.10061097145080566,0,0,0,0,0.0,0,0,0,0.0,5.0,-11.0,-996.0,0.0,0.0,0.0,0.0,0.6467627323776242,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33098721504211426,0.12688422203063965,0,0,0,0,0.0,0,0,0,0.0,5.0,-10.0,-1000.0,0.0,0.0,0.0,0.0,0.2947627323776487,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.43129420280456543,0.10030698776245117,0,0,0,0,0.0,0,0,0,0.0,7.0,-10.0,-998.0,0.0,0.0,0.0,0.0,0.41316273237760015,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5363962650299072,0.1051020622253418,0,0,0,0,0.0,0,0,0,0.0,6.0,-10.0,-1001.0,0.0,0.0,0.0,0.0,-0.09211726762248418,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6383850574493408,0.1019887924194336,0,0,0,0,0.0,0,0,0,0.0,5.0,-9.0,-1000.0,0.0,0.0,0.0,0.0,-0.29634126762243795,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7896370887756348,0.15125203132629395,0,0,0,0,0.0,0,0,0,0.0,6.0,-10.0,-999.0,0.0,0.0,0.0,0.0,-0.259720467622401,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8903441429138184,0.1007070541381836,0,0,0,0,0.0,0,0,0,0.0,5.0,-10.0,-999.0,0.0,0.0,0.0,0.0,-0.23042382762241687,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9912981986999512,0.10095405578613281,0,0,0,0,0.0,0,0,0,0.0,5.0,-9.0,-999.0,0.0,0.0,0.0,0.0,-0.20698651562247505,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0929160118103027,0.10161781311035156,0,0,0,0,0.0,0,0,0,0.0,7.0,-11.0,-1000.0,0.0,0.0,0.0,0.0,-0.3882366660225216,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1968932151794434,0.10397720336914062,0,0,0,0,0.0,0,0,0,0.0,6.0,-11.0,-999.0,0.0,0.0,0.0,0.0,-0.3332367863424679,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2975819110870361,0.10068869590759277,0,0,0,0,0.0,0,0,0,0.0,5.0,-9.0,-998.0,0.0,0.0,0.0,0.0,-0.0892368825984704,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3978090286254883,0.10022711753845215,0,0,0,0,0.0,0,0,0,0.0,5.0,-10.0,-998.0,0.0,0.0,0.0,0.0,0.10596304039665938,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4994971752166748,0.10168814659118652,0,0,0,0,0.0,0,0,0,0.0,6.0,-11.0,-997.0,0.0,0.0,0.0,0.0,0.4621229787928769,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6002671718597412,0.1007699966430664,0,0,0,0,0.0,0,0,0,0.0,5.0,-11.0,-1000.0,0.0,0.0,0.0,0.0,0.14705092950975995,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.705808162689209,0.10554099082946777,0,0,0,0,0.0,0,0,0,0.0,6.0,-10.0,-999.0,0.0,0.0,0.0,0.0,0.0949932900832664,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8072900772094727,0.10148191452026367,0,0,0,0,0.0,0,0,0,0.0,6.0,-10.0,-1002.0,0.0,0.0,0.0,0.0,-0.546652821457883,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.909301996231079,0.10201191902160645,0,0,0,0,0.0,0,0,0,0.0,6.0,-10.0,-998.0,0.0,0.0,0.0,0.0,-0.2599697106908252,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.012166976928711,0.10286498069763184,0,0,0,0,0.0,0,0,0,0.0,6.0,-10.0,-998.0,0.0,0.0,0.0,0.0,-0.030623222077224455,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1164121627807617,0.10424518585205078,0,0,0,0,0.0,0,0,0,0.0,6.0,-10.0,-998.0,0.0,0.0,0.0,0.0,0.1528539688137016,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.221654176712036,0.10524201393127441,0,0,0,0,0.0,0,0,0,0.0,6.0,-10.0,-998.0,0.0,0.0,0.0,0.0,0.29963572152644247,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3239052295684814,0.10225105285644531,0,0,0,0,0.0,0,0,0,0.0,6.0,-11.0,-999.0,0.0,0.0,0.0,0.0,0.21706112369656694,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4270102977752686,0.10310506820678711,0,0,0,0,0.0,0,0,0,0.0,5.0,-9.0,-1000.0,0.0,0.0,0.0,0.0,-0.0489985545672198,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5283632278442383,0.10135293006896973,0,0,0,0,0.0,0,0,0,0.0,4.0,-9.0,-1001.0,0.0,0.0,0.0,0.0,-0.46184629717834014,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6285409927368164,0.10017776489257812,0,0,0,0,0.0,0,0,0,0.0,6.0,-11.0,-997.0,0.0,0.0,0.0,0.0,0.007875508732809067,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7333621978759766,0.10482120513916016,0,0,0,0,0.0,0,0,0,0.0,6.0,-10.0,-999.0,0.0,0.0,0.0,0.0,-0.016347046538157883,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.837222099304199,0.10385990142822266,0,0,0,0,0.0,0,0,0,0.0,6.0,-10.0,-998.0,0.0,0.0,0.0,0.0,0.1642749092449094,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9408981800079346,0.10367608070373535,0,0,0,0,0.0,0,0,0,0.0,7.0,-12.0,-999.0,0.0,0.0,0.0,0.0,0.10877247387134048,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.041400909423828,0.10050272941589355,0,0,0,0,0.0,0,0,0,0.0,6.0,-10.0,-999.0,0.0,0.0,0.0,0.0,0.06437052557248535,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1448521614074707,0.10345125198364258,0,0,0,0,0.0,0,0,0,0.0,6.0,-9.0,-996.0,0.0,0.0,0.0,0.0,0.6288489669334467,0,10,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
